"X1" "X3" "X4" "X5" "X6" "X7" "X8" "X9"
"39024" "2014" "MONTANA" "30" "Custer" "17" "30017" 187073 "020215"
"39025" "2014" "MONTANA" "30" "Daniels" "19" "30019" 3591278 "020215"
"39026" "2014" "MONTANA" "30" "Dawson" "21" "30021" 1668525 "020215"
"39027" "2014" "MONTANA" "30" "Deer-Lodge" "23" "30023" 0 "020215"
"39028" "2014" "MONTANA" "30" "Fallon" "25" "30025" 877450 "020215"
"39029" "2014" "MONTANA" "30" "Fergus" "27" "30027" 3698774 "020215"
"39030" "2014" "MONTANA" "30" "Flathead" "29" "30029" 17609 "020215"
"39031" "2014" "MONTANA" "30" "Gallatin" "31" "30031" 257516 "020215"
"39032" "2014" "MONTANA" "30" "Garfield" "33" "30033" 505580 "020215"
"39033" "2014" "MONTANA" "30" "Glacier" "35" "30035" 2368641 "020215"
"39034" "2014" "MONTANA" "30" "Golden-Valley" "37" "30037" 261467 "020215"
"39035" "2014" "MONTANA" "30" "Granite" "39" "30039" 0 "020215"
"39036" "2014" "MONTANA" "30" "Hill" "41" "30041" 7030946 "020215"
"39037" "2014" "MONTANA" "30" "Jefferson" "43" "30043" 28356 "020215"
"39038" "2014" "MONTANA" "30" "Judith-Basin" "45" "30045" 941920 "020215"
"39039" "2014" "MONTANA" "30" "Lake" "47" "30047" 124531 "020215"
"39040" "2014" "MONTANA" "30" "Lewis-and-Clark" "49" "30049" 610271 "020215"
"39041" "2014" "MONTANA" "30" "Liberty" "51" "30051" 1706151 "020215"
"39042" "2014" "MONTANA" "30" "Madison" "57" "30057" 171695 "020215"
"39043" "2014" "MONTANA" "30" "McCone" "55" "30055" 1704969 "020215"
"39044" "2014" "MONTANA" "30" "Meagher" "59" "30059" 62484 "020215"
"39045" "2014" "MONTANA" "30" "Mineral" "61" "30061" 7701 "020215"
"39046" "2014" "MONTANA" "30" "Missoula" "63" "30063" 12127 "020215"
"39047" "2014" "MONTANA" "30" "Musselshell" "65" "30065" 87315 "020215"
"39048" "2014" "MONTANA" "30" "Park" "67" "30067" 36413 "020215"
"39049" "2014" "MONTANA" "30" "Petroleum" "69" "30069" 392583 "020215"
"39050" "2014" "MONTANA" "30" "Phillips" "71" "30071" 2790119 "020215"
"39051" "2014" "MONTANA" "30" "Pondera" "73" "30073" 1694463 "020215"
"39052" "2014" "MONTANA" "30" "Powder-River" "75" "30075" 221326 "020215"
"39053" "2014" "MONTANA" "30" "Powell" "77" "30077" 0 "020215"
"39054" "2014" "MONTANA" "30" "Prairie" "79" "30079" 264430 "020215"
"39055" "2014" "MONTANA" "30" "Ravalli" "81" "30081" 31131 "020215"
"39056" "2014" "MONTANA" "30" "Richland" "83" "30083" 576598 "020215"
"39057" "2014" "MONTANA" "30" "Roosevelt" "85" "30085" 3933407 "020215"
"39058" "2014" "MONTANA" "30" "Rosebud" "87" "30087" 1256325 "020215"
"39059" "2014" "MONTANA" "30" "Sanders" "89" "30089" 22271 "020215"
"39060" "2014" "MONTANA" "30" "Sheridan" "91" "30091" 4061764 "020215"
"39061" "2014" "MONTANA" "30" "Silver-Bow" "93" "30093" 0 "020215"
"39062" "2014" "MONTANA" "30" "Stillwater" "95" "30095" 75493 "020215"
"39063" "2014" "MONTANA" "30" "Sweet-Grass" "97" "30097" 93735 "020215"
"39064" "2014" "MONTANA" "30" "Teton" "99" "30099" 720441 "020215"
"39065" "2014" "MONTANA" "30" "Toole" "101" "30101" 3198622 "020215"
"39066" "2014" "MONTANA" "30" "Treasure" "103" "30103" 48435 "020215"
"39067" "2014" "MONTANA" "30" "Valley" "105" "30105" 4704590 "020215"
"39068" "2014" "MONTANA" "30" "Wheatland" "107" "30107" 186241 "020215"
"39069" "2014" "MONTANA" "30" "Wibaux" "109" "30109" 591845 "020215"
"39070" "2014" "MONTANA" "30" "Yellowstone" "111" "30111" 497541 "020215"
"53418" "2015" "MONTANA" "30" "Beaverhead" "1" "30001" 76942 "021616"
"53419" "2015" "MONTANA" "30" "Big-Horn" "3" "30003" 2145106 "021616"
"53420" "2015" "MONTANA" "30" "Blaine" "5" "30005" 7019287 "021616"
"53421" "2015" "MONTANA" "30" "Broadwater" "7" "30007" 446426 "021616"
"53422" "2015" "MONTANA" "30" "Carbon" "9" "30009" 164594 "021616"
"53423" "2015" "MONTANA" "30" "Carter" "11" "30011" 497696 "021616"
"53424" "2015" "MONTANA" "30" "Cascade" "13" "30013" 1770567 "021616"
"53425" "2015" "MONTANA" "30" "Chouteau" "15" "30015" 10030453 "021616"
"53426" "2015" "MONTANA" "30" "Custer" "17" "30017" 1179622 "021616"
"53427" "2015" "MONTANA" "30" "Daniels" "19" "30019" 5570693 "021616"
"53428" "2015" "MONTANA" "30" "Dawson" "21" "30021" 641039 "021616"
"53429" "2015" "MONTANA" "30" "Deer-Lodge" "23" "30023" 0 "021616"
"53430" "2015" "MONTANA" "30" "Fallon" "25" "30025" 1411159 "021616"
"53431" "2015" "MONTANA" "30" "Fergus" "27" "30027" 839781 "021616"
"53432" "2015" "MONTANA" "30" "Flathead" "29" "30029" 360743 "021616"
"53433" "2015" "MONTANA" "30" "Gallatin" "31" "30031" 372598 "021616"
"53434" "2015" "MONTANA" "30" "Garfield" "33" "30033" 408228 "021616"
"53435" "2015" "MONTANA" "30" "Glacier" "35" "30035" 4001935 "021616"
"53436" "2015" "MONTANA" "30" "Golden-Valley" "37" "30037" 360928 "021616"
"53437" "2015" "MONTANA" "30" "Granite" "39" "30039" 0 "021616"
"53438" "2015" "MONTANA" "30" "Hill" "41" "30041" 29987177 "021616"
"53439" "2015" "MONTANA" "30" "Jefferson" "43" "30043" 323447 "021616"
"53440" "2015" "MONTANA" "30" "Judith-Basin" "45" "30045" 307793 "021616"
"53441" "2015" "MONTANA" "30" "Lake" "47" "30047" 433909 "021616"
"53442" "2015" "MONTANA" "30" "Lewis-and-Clark" "49" "30049" 403608 "021616"
"53443" "2015" "MONTANA" "30" "Liberty" "51" "30051" 11775172 "021616"
"53444" "2015" "MONTANA" "30" "Lincoln" "53" "30053" 31620 "021616"
"53445" "2015" "MONTANA" "30" "Madison" "57" "30057" 130406 "021616"
"53446" "2015" "MONTANA" "30" "McCone" "55" "30055" 1958224 "021616"
"53447" "2015" "MONTANA" "30" "Meagher" "59" "30059" 93465 "021616"
"53448" "2015" "MONTANA" "30" "Mineral" "61" "30061" 5571 "021616"
"53449" "2015" "MONTANA" "30" "Missoula" "63" "30063" 32233 "021616"
"53450" "2015" "MONTANA" "30" "Musselshell" "65" "30065" 320915 "021616"
"53451" "2015" "MONTANA" "30" "Park" "67" "30067" 60814 "021616"
"53452" "2015" "MONTANA" "30" "Petroleum" "69" "30069" 43193 "021616"
"53453" "2015" "MONTANA" "30" "Phillips" "71" "30071" 1651710 "021616"
"53454" "2015" "MONTANA" "30" "Pondera" "73" "30073" 3876115 "021616"
"53455" "2015" "MONTANA" "30" "Powder-River" "75" "30075" 837092 "021616"
